data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-01-22 12:00:00,1001.0,84,25.4,23.3,88,18.38,80,4,298.5,352.1,301.7,NaN
2026-01-22 12:00:00,1000.0,97,25.0,23.2,90,18.28,100,8,298.1,351.5,301.4,NaN
2026-01-22 12:00:00,991.0,176,24.1,22.8,92,18.00,95,10,298.1,350.5,301.3,NaN
2026-01-22 12:00:00,973.0,337,22.4,22.0,98,17.44,61,11,297.9,348.7,301.0,NaN
2026-01-22 12:00:00,959.0,464,22.9,20.7,87,16.35,35,12,299.7,347.6,302.6,NaN
2026-01-22 12:00:00,945.0,593,23.5,19.4,78,15.29,20,14,301.5,346.8,304.3,NaN
2026-01-22 12:00:00,938.0,658,23.8,18.8,74,14.78,23,14,302.4,346.4,305.1,NaN
2026-01-22 12:00:00,925.0,780,23.4,17.4,69,13.70,30,15,303.2,344.1,305.7,NaN
2026-01-22 12:00:00,897.0,1047,21.7,16.1,71,13.02,35,17,304.1,343.1,306.5,NaN
2026-01-22 12:00:00,864.0,1372,19.5,14.6,73,12.22,45,11,305.2,342.0,307.4,NaN
2026-01-22 12:00:00,850.0,1514,18.6,13.9,74,11.88,10,6,305.6,341.5,307.8,NaN
2026-01-22 12:00:00,832.0,1697,17.6,13.5,77,11.83,345,11,306.4,342.2,308.6,NaN
2026-01-22 12:00:00,795.0,2085,15.3,12.7,84,11.71,340,13,308.0,343.7,310.2,NaN
2026-01-22 12:00:00,771.0,2347,13.8,12.1,89,11.63,324,11,309.1,344.7,311.2,NaN
2026-01-22 12:00:00,700.0,3159,10.4,6.5,77,8.75,275,6,314.0,341.5,315.6,NaN
2026-01-22 12:00:00,674.0,3471,8.8,4.9,76,8.11,285,2,315.6,341.4,317.2,NaN
2026-01-22 12:00:00,659.0,3657,7.9,3.9,76,7.74,245,10,316.6,341.4,318.1,NaN
2026-01-22 12:00:00,644.0,3847,7.0,2.9,75,7.38,255,13,317.6,341.4,319.1,NaN
2026-01-22 12:00:00,629.0,4042,6.0,1.9,75,7.03,249,15,318.7,341.4,320.0,NaN
2026-01-22 12:00:00,619.0,4171,5.1,1.3,76,6.84,245,17,319.1,341.3,320.4,NaN
2026-01-22 12:00:00,565.0,4910,-0.0,-2.1,86,5.85,205,15,321.5,340.8,322.7,NaN
2026-01-22 12:00:00,560.0,4982,-0.5,-2.4,87,5.76,206,16,321.8,340.8,322.9,NaN
2026-01-22 12:00:00,536.0,5330,-1.9,-5.3,77,4.85,210,18,324.2,340.5,325.2,NaN
2026-01-22 12:00:00,518.0,5601,-2.9,-7.5,71,4.22,233,18,326.1,340.5,327.0,NaN
2026-01-22 12:00:00,501.0,5864,-5.2,-8.1,80,4.18,255,17,326.5,340.7,327.3,NaN
2026-01-22 12:00:00,500.0,5880,-5.3,-8.1,81,4.18,255,17,326.5,340.7,327.3,NaN
2026-01-22 12:00:00,475.0,6283,-7.5,-9.0,89,4.10,238,14,328.6,342.7,329.4,NaN
2026-01-22 12:00:00,471.0,6349,-7.7,-11.2,76,3.48,235,13,329.2,341.3,329.9,NaN
2026-01-22 12:00:00,466.0,6433,-7.9,-13.9,62,2.82,239,14,329.9,339.8,330.5,NaN
2026-01-22 12:00:00,441.0,6859,-10.4,-14.7,71,2.78,260,19,332.0,341.8,332.5,NaN
2026-01-22 12:00:00,414.0,7348,-13.3,-15.7,82,2.73,247,13,334.3,344.1,334.9,NaN
2026-01-22 12:00:00,400.0,7610,-14.9,-18.3,75,2.27,240,10,335.5,343.8,336.0,NaN
2026-01-22 12:00:00,353.0,8547,-20.1,-27.1,54,1.18,233,9,340.7,345.3,341.0,NaN
2026-01-22 12:00:00,300.0,9730,-29.9,-33.0,74,0.80,225,7,343.1,346.3,343.3,NaN
2026-01-22 12:00:00,286.0,10068,-32.9,-34.7,83,0.71,185,4,343.6,346.4,343.8,NaN
2026-01-22 12:00:00,283.0,10142,-33.5,-35.1,85,0.69,182,4,343.7,346.5,343.9,NaN
2026-01-22 12:00:00,251.0,10973,-39.3,-51.3,27,0.14,151,5,347.1,347.7,347.1,NaN
2026-01-22 12:00:00,250.0,11000,-39.5,-51.5,27,0.13,150,5,347.2,347.8,347.2,NaN
2026-01-22 12:00:00,225.0,11705,-46.0,-54.7,37,0.10,150,15,347.9,348.4,348.0,NaN
2026-01-22 12:00:00,213.0,12071,-49.3,-56.3,44,0.09,164,17,348.2,348.6,348.2,NaN
2026-01-22 12:00:00,200.0,12480,-52.9,-63.9,25,0.04,180,20,348.8,349.0,348.8,NaN
2026-01-22 12:00:00,198.0,12544,-53.5,-64.1,26,0.03,180,20,348.9,349.1,348.9,NaN
2026-01-22 12:00:00,192.0,12741,-55.3,-64.7,30,0.03,165,22,349.1,349.3,349.1,NaN
2026-01-22 12:00:00,190.0,12808,-55.9,-64.9,31,0.03,168,23,349.2,349.3,349.2,NaN
