PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1004.0,84,26.0,23.1,84,18.09,80,2,298.8,351.7,302.0
1000.0,116,25.6,22.7,84,17.72,35,2,298.8,350.6,301.9
925.0,801,22.6,19.7,84,15.88,70,14,302.4,349.6,305.3
850.0,1533,17.0,16.0,94,13.64,70,18,303.9,344.7,306.4
838.0,1655,16.2,15.6,96,13.44,70,19,304.3,344.6,306.8
826.0,1778,15.4,15.1,98,13.24,60,19,304.8,344.5,307.2
820.0,1839,15.0,14.7,98,13.00,55,19,305.0,344.1,307.4
776.0,2303,12.2,11.8,97,11.32,70,23,306.8,341.2,308.9
728.0,2839,9.0,8.4,96,9.59,90,20,308.9,338.4,310.7
717.0,2967,8.2,7.6,96,9.22,88,20,309.4,337.8,311.1
700.0,3166,7.8,5.3,84,8.04,85,20,311.1,336.2,312.6
683.0,3369,7.4,4.4,81,7.73,90,21,312.8,337.1,314.3
660.0,3652,6.8,3.1,77,7.30,73,18,315.2,338.5,316.6
649.0,3790,5.9,1.9,75,6.78,65,17,315.7,337.4,317.0
618.0,4191,3.2,-1.8,70,5.46,75,17,317.1,334.8,318.1
565.0,4913,-1.9,-1.9,100,5.93,40,7,319.3,338.6,320.4
549.0,5140,-2.9,-3.5,96,5.40,30,11,320.7,338.5,321.8
500.0,5880,-6.3,-8.8,82,3.95,20,13,325.3,338.7,326.1
493.0,5989,-6.8,-9.7,80,3.73,15,14,326.0,338.7,326.7
438.0,6902,-11.3,-17.3,61,2.26,40,18,331.5,339.6,332.0
400.0,7590,-15.9,-23.9,50,1.40,65,16,334.2,339.4,334.5
386.0,7856,-17.5,-26.9,44,1.10,65,16,335.5,339.7,335.8
360.0,8378,-20.7,-32.7,33,0.68,87,14,338.0,340.7,338.2
352.0,8544,-21.7,-31.7,40,0.77,94,14,338.9,341.9,339.0
319.0,9256,-27.7,-37.7,38,0.47,125,11,340.1,342.0,340.2
312.0,9416,-29.1,-39.1,37,0.42,155,9,340.4,342.1,340.5
309.0,9486,-29.7,-39.7,37,0.40,165,11,340.5,342.1,340.6
300.0,9700,-31.5,-41.5,37,0.34,155,16,340.9,342.2,340.9
293.0,9866,-33.0,-41.6,42,0.34,150,19,341.0,342.4,341.1
280.0,10184,-35.9,-41.9,54,0.35,167,23,341.3,342.7,341.4
264.0,10587,-39.2,-46.4,47,0.23,190,29,342.2,343.2,342.2
252.0,10906,-41.9,-49.9,41,0.16,186,32,342.9,343.5,342.9
250.0,10960,-42.1,-51.1,37,0.14,185,33,343.3,343.9,343.4
247.0,11041,-42.9,-48.9,52,0.18,182,34,343.3,344.1,343.4
241.0,11206,-43.5,-65.5,7,0.02,175,37,344.9,345.0,344.9
232.0,11459,-45.5,-68.0,6,0.02,165,41,345.5,345.6,345.5
222.0,11752,-47.9,-70.9,5,0.01,167,44,346.3,346.3,346.3
213.0,12023,-50.1,-59.1,34,0.06,169,46,347.0,347.3,347.0
210.0,12115,-50.8,-62.2,25,0.04,170,47,347.3,347.5,347.3
208.0,12177,-51.3,-64.3,20,0.03,168,47,347.4,347.6,347.5
200.0,12430,-53.7,-64.7,25,0.03,160,45,347.6,347.7,347.6
178.0,13155,-59.5,-69.2,27,0.02,160,16,349.9,350.0,349.9
171.0,13405,-61.4,-70.8,28,0.02,185,8,350.7,350.8,350.7
161.0,13780,-64.4,-73.1,29,0.01,240,11,351.8,351.8,351.8
153.0,14097,-66.9,-75.1,30,0.01,220,6,352.6,352.7,352.6
150.0,14220,-67.9,-75.9,31,0.01,210,7,352.9,353.0,352.9
147.0,14341,-69.1,-76.3,34,0.01,210,10,352.9,352.9,352.9
146.0,14382,-69.5,-76.5,35,0.01,211,11,352.9,352.9,352.9
138.0,14716,-71.1,-79.9,26,0.00,215,18,355.9,355.9,355.9
133.0,14935,-72.1,-82.1,21,0.00,225,12,357.8,357.8,357.8
126.0,15247,-74.4,-82.9,26,0.00,310,11,359.3,359.3,359.3
115.0,15775,-78.2,-84.2,38,0.00,315,10,361.6,361.6,361.6
111.0,15980,-79.7,-84.7,44,0.00,264,7,362.5,362.5,362.5
105.0,16294,-80.9,-86.9,36,0.00,185,3,366.0,366.1,366.0
100.0,16570,-79.5,-86.5,31,0.00,95,14,373.9,373.9,373.9
94.0,16922,-78.9,-87.8,22,0.00,135,15,381.7,381.7,381.7
92.0,17044,-78.7,-88.2,20,0.00,135,23,384.5,384.5,384.5
82.0,17698,-77.6,-90.7,11,0.00,90,32,399.6,399.6,399.6
